hybrid,s2cloudless,cloudscoreplus
0.29391933044021973,0.4323380573878304,0.4522767471092535
0.3541407626953216,0.39602339491517635,0.5791192426681615
0.3251720670380281,0.41503734402501363,0.5439382047759092
0.23869302758082786,0.3751692553096396,0.3548777880454478
0.32278568151367076,0.41477866229518734,0.5488283630932936
0.3687447565852805,0.4095326138323428,0.5367120982265339
0.20476059434656776,0.2719722117497101,0.3470390400626582
0.34241458946779224,0.3972911640915345,0.43502356495353156
0.2796121044877128,0.3972911640915345,0.43194082922131977
0.3278026684732734,0.40326202724102933,0.565224168184601
0.24133873308530915,0.2714595082452109,0.39878450146840405
0.3516135934190033,0.40956112076993745,0.5567990809646155
0.4065466282500496,0.4838196530971034,0.5613073072687835
0.37686826325595113,0.4316255826851063,0.5463033691547009
0.2929415462878814,0.4119361754840861,0.4854621534532132
0.2804276066194564,0.3910950199002607,0.39910356721011375
0.3130320921726612,0.40245701704323494,0.5367120982265339
0.19791646073446292,0.40245701704323494,0.36152656539336636
0.3944871984207031,0.2831559401113494,0.30218607216231685
0.21782440669096514,0.32656730787894883,0.4434969872997765
0.3630489186758947,0.3835910907055793,0.5484179224247584
0.32648798606103346,0.4056947128940636,0.5700421230928785
0.2845601580487878,0.3987576577490865,0.5545138727333655
0.33216817546097266,0.4102692298172248,0.5397790036314631
0.3367003069009943,0.4506018634156407,0.5824868387553567
0.30510137543788146,0.38043841458397587,0.5872548151408172
0.254752366821865,0.40245701704323494,0.3799826410166687
0.2740858122043529,0.2620470420704091,0.36886703716783054
0.336913872176717,0.429210079632565,0.5599060184805302
0.18635434149331354,0.3729286094391041,0.46136981501686086
0.3081849059670083,0.41178291889352014,0.5308324342699406
0.3415506694082746,0.39414234677563065,0.5367120982265339
0.3638436299971607,0.3973702062095078,0.5403300252382263
0.32278568151367076,0.43638675915263686,0.559831682959318
0.3808147584033073,0.4503053713522824,0.5376380642122609
0.3708207154538439,0.42464258606463073,0.5901646843902484
0.2845601580487878,0.399288312103791,0.5367120982265339
0.3036729197812293,0.4505305720523071,0.5575938651408253
0.35240104961096325,0.4219788992623832,0.5488283630932936
0.2845601580487878,0.3765204446991509,0.5397790036314631
0.32278568151367076,0.3970544975837203,0.5545138727333655
0.3736367453731856,0.47694833155684463,0.563294787492874
0.32278568151367076,0.3681540212579757,0.4278938016546272
0.3666263523262392,0.38043841458397587,0.5569140033282776
0.3620434974219138,0.4411497159523726,0.5514748676203394
0.32278568151367076,0.3815056392020525,0.6092947383552049
0.2644959818658015,0.3684988916406969,0.4278938016546272
0.235844993117526,0.3910950199002607,0.5308324342699406
0.339627572249144,0.3875643314179944,0.5841347914225339
0.3753359527381741,0.4285489902345583,0.5831590047819923
0.33216817546097266,0.4102692298172248,0.539148055761742
0.24460793444537626,0.3482778297237771,0.5391505373355171
0.29391933044021973,0.435323449329169,0.5396002781347864
0.23129287371805496,0.2607489462448873,0.36152656539336636
0.3564694629846173,0.4119361754840861,0.5899803346115613
0.27839857370600885,0.3763072784715493,0.43408175597358545
0.33870125414465413,0.4348501639154716,0.5507321966095322
0.24540628873380585,0.3835910907055793,0.438110357686085
0.20902852533509675,0.3751692553096396,0.42993941214305836
0.33834147210100574,0.42181180297991144,0.5357317977352563
0.23658566687733842,0.42202445505386355,0.5613073072687835
0.3417546454536308,0.3765204446991509,0.5867963667367844
0.28486803598060495,0.39468143921552545,0.5819199727995692
0.291727717116432,0.429210079632565,0.5391505373355171
0.2730371356963119,0.3970544975837203,0.5403300252382263
0.24865742804209434,0.3815056392020525,0.3392153205721975
0.3560956759253935,0.3972911640915345,0.551710287309798
0.34485818104106924,0.447323924635722,0.5912272050417267
0.3708207154538439,0.43256301448117196,0.6232431774336362
0.3631687433827734,0.4496340129375879,0.5661503728113365
0.28461378066815224,0.42202445505386355,0.5391505373355171
0.2582558951011723,0.2798311180916411,0.36244069971168497
0.37369204104040465,0.3910950199002607,0.5613073072687835
0.3465773629907378,0.3763072784715493,0.4108704817483873
0.34485818104106924,0.4098077586633347,0.5811813528077151
0.2405118798301229,0.3965524240644309,0.4504947082813648
0.38778382771007236,0.45235861336902833,0.5824868387553567
0.37320333503568937,0.4144216273000124,0.5661503728113365
0.3178369879469253,0.40245701704323494,0.5476752514139511
