hybrid_minus_s2cloudless,hybrid_minus_cloudscoreplus,s2cloudless_minus_cloudscoreplus
-0.13841872694761065,-0.15835741666903375,-0.019938689721423097
-0.041882632219854776,-0.22497847997283993,-0.18309584775298515
-0.08986527698698554,-0.21876613773788106,-0.12890086075089552
-0.13647622772881177,-0.11618476046461992,0.020291467264191843
-0.09199298078151658,-0.22604268157962287,-0.1340497007981063
-0.0407878572470623,-0.16796734164125338,-0.12717948439419108
-0.06721161740314233,-0.1422784457160904,-0.07506682831294809
-0.054876574623742236,-0.09260897548573932,-0.037732400861997084
-0.11767905960382169,-0.15232872473360698,-0.03464966512978529
-0.07545935876775595,-0.2374214997113276,-0.16196214094357164
-0.030120775159901775,-0.1574457683830949,-0.12732499322319313
-0.05794752735093417,-0.20518548754561222,-0.14723796019467805
-0.07727302484705378,-0.15476067901873392,-0.07748765417168013
-0.05475731942915518,-0.16943510589874977,-0.11467778646959459
-0.11899462919620474,-0.19252060716533181,-0.07352597796912708
-0.11066741328080426,-0.11867596059065733,-0.008008547309853065
-0.08942492487057374,-0.22368000605387267,-0.13425508118329893
-0.20454055630877202,-0.16361010465890344,0.04093045164986858
0.1113312583093537,0.09230112625838627,-0.01903013205096743
-0.10874290118798369,-0.22567258060881135,-0.11692967942082766
-0.020542172029684558,-0.18536900374886367,-0.1648268317191791
-0.07920672683303015,-0.24355413703184503,-0.16434741019881488
-0.11419749970029869,-0.2699537146845777,-0.155756214984279
-0.07810105435625214,-0.20761082817049048,-0.12950977381423834
-0.1139015565146464,-0.2457865318543624,-0.131884975339716
-0.07533703914609441,-0.28215343970293577,-0.20681640055684136
-0.14770465022136997,-0.1252302741948037,0.022474376026566267
0.012038770133943832,-0.09478122496347763,-0.10681999509742146
-0.09229620745584804,-0.22299214630381325,-0.1306959388479652
-0.18657426794579057,-0.2750154735235473,-0.08844120557775675
-0.10359801292651183,-0.22264752830293233,-0.1190495153764205
-0.05259167736735604,-0.19516142881825926,-0.14256975145090323
-0.033526576212347114,-0.17648639524106557,-0.14295981902871846
-0.1136010776389661,-0.2370460014456472,-0.1234449238066811
-0.06949061294897507,-0.1568233058089536,-0.08733269285997852
-0.05382187061078686,-0.2193439689364045,-0.16552209832561765
-0.1147281540550032,-0.25215194017774606,-0.13742378612274286
-0.14685765227107783,-0.25392094535959603,-0.1070632930885182
-0.06957784965141994,-0.1964273134823304,-0.12684946383091045
-0.0919602866503631,-0.2552188455826753,-0.16325855893231223
-0.07426881607004954,-0.23172819121969473,-0.1574593751496452
-0.10331158618365904,-0.1896580421196884,-0.08634645593602935
-0.04536833974430493,-0.10510812014095644,-0.05973978039665151
-0.01381206225773668,-0.19028765100203837,-0.1764755887443017
-0.07910621853045885,-0.1894313701984256,-0.11032515166796675
-0.05871995768838173,-0.2865090568415341,-0.22778909915315237
-0.1040029097748954,-0.16339781978882573,-0.059394910013930324
-0.1552500267827347,-0.29498744115241465,-0.13973741436967996
-0.047936759168850374,-0.24450721917338986,-0.19657046000453948
-0.053213037496384175,-0.20782305204381823,-0.15461001454743406
-0.07810105435625214,-0.2069798803007693,-0.12887882594451716
-0.10366989527840081,-0.29454260289014084,-0.19087270761174002
-0.14140411888894927,-0.24568094769456666,-0.1042768288056174
-0.029456072526832355,-0.1302336916753114,-0.10077761914847905
-0.05546671249946883,-0.233510871626944,-0.17804415912747518
-0.09790870476554048,-0.1556831822675766,-0.057774477502036126
-0.09614890977081747,-0.21203094246487808,-0.11588203269406061
-0.13818480197177344,-0.19270406895227912,-0.05451926698050569
-0.16614072997454288,-0.22091088680796162,-0.05477015683341874
-0.08347033087890571,-0.19739032563425052,-0.11391999475534481
-0.18543878817652512,-0.32472164039144513,-0.13928285221491998
-0.03476579924552009,-0.24504172128315355,-0.21027592203763346
-0.1098134032349205,-0.29705193681896425,-0.18723853358404374
-0.13748236251613305,-0.24742282021908513,-0.10994045770295208
-0.12401736188740842,-0.2672928895419144,-0.14327552765450596
-0.13284821115995815,-0.09055789253010316,0.042290318629854995
-0.04119548816614099,-0.1956146113844045,-0.1544191232182635
-0.10246574359465277,-0.2463690240006574,-0.14390328040600464
-0.061742299027328085,-0.25242246197979235,-0.19068016295246426
-0.08646526955481454,-0.20298162942856313,-0.11651635987374859
-0.1374106743857113,-0.25453675666736486,-0.11712608228165355
-0.021575222990468768,-0.10418480461051266,-0.08260958162004389
-0.017402978859856033,-0.18761526622837887,-0.17021228736852284
-0.029729915480811497,-0.06429311875764948,-0.034563203276837984
-0.06494957762226544,-0.23632317176664586,-0.17137359414438041
-0.15604054423430802,-0.2099828284512419,-0.05394228421693387
-0.06457478565895597,-0.1947030110452843,-0.13012822538632834
-0.04121829226432305,-0.19294703777564715,-0.1517287455113241
-0.08462002909630967,-0.22983826346702585,-0.14521823437071618
-0.05109735123730447,-0.10240765035978161,-0.05131029912247714
-0.12227835827546768,-0.04649759159449185,0.07578076668097583
-0.09923877354019278,-0.11343700121218042,-0.01419822767198764
-0.08027184381516272,-0.2442878142845205,-0.16401597046935779
-0.17396429396456076,-0.16113904219187491,0.012825251772685842
-0.11891903270339721,-0.12217478479505434,-0.003255752091657127
-0.16285997926873189,-0.2131938653362682,-0.050333886067536304
-0.0896903673070712,-0.20551894288446876,-0.11582857557739756
-0.1027065154957722,-0.09609123765509425,0.006615277840677947
-0.05099108752606757,-0.2342398197501523,-0.18324873222408472
-0.025831361024619137,-0.1399711713581333,-0.11413981033351417
-0.13828942206113545,-0.1680914330409257,-0.02980201097979024
-0.1921673947223776,-0.2592040911635794,-0.0670366964412018
-0.05509377448539582,-0.22732658984693627,-0.17223281536154045
-0.06027880418680487,-0.11571489493019482,-0.055436090743389954
-0.09163594578634165,-0.1312731044234714,-0.039637158637129744
-0.09720890930890341,-0.20444193474288308,-0.10723302543397967
-0.07358982388132557,-0.15805078118118926,-0.08446095729986369
-0.11734922171351642,-0.2442643761913314,-0.12691515447781498
-0.16481793031028125,-0.34163537317938303,-0.17681744286910178
-0.035280636845310354,-0.10432530019275715,-0.0690446633474468
-0.11132499873105406,-0.28953159299287023,-0.17820659426181618
-0.04275029397236002,-0.2357600307212981,-0.19300973674893807
-0.1071165741810583,-0.04388037723599908,0.06323619694505922
-0.09636721878245075,-0.2545386172580058,-0.15817139847555506
-0.0512840115532297,-0.1870088395914291,-0.1357248280381994
-0.08950777501751961,-0.219348096674307,-0.12984032165678738
-0.01717292914360191,-0.14402123564813663,-0.1268483065045347
-0.08721085763715819,-0.23713021063586492,-0.14991935299870673
-0.05038478049750306,-0.20949921762278412,-0.15911443712528106
