metric,median,ci_lower,ci_upper
hybrid,0.32237442817586826,0.20169861174042197,0.3971569372638663
s2cloudless,0.40265540300356906,0.2607489462448873,0.45235861336902833
cloudscoreplus,0.5381837066315511,0.32984915300137047,0.5983775362307341
