index,algorithm,metric,median,std
0,cloudscoreplus,f1_score,0.7369484824371042,0.1417262398774261
1,cloudscoreplus,iou,0.5834666853962325,0.18668491304525908
2,cloudscoreplus,mcc,0.6696662436286518,0.14706558262392852
3,hybrid,f1_score,0.4788260972426051,0.322448369353687
4,hybrid,iou,0.3147740678265968,0.29159269129537646
5,hybrid,mcc,0.452875313488473,0.2564561689344325
6,s2cloudless,f1_score,0.6756934886696261,0.17934267239219637
7,s2cloudless,iou,0.5102243950993164,0.21746428587274555
8,s2cloudless,mcc,0.5856295479127799,0.1131889317296479
