scene_id,diff_hybrid_s2cloudless,diff_hybrid_cloudscoreplus,diff_s2cloudless_cloudscoreplus
202004,-0.12278754597124031,-0.20712773069300605,-0.08434018472176574
202007,-0.17836100614499828,-0.23278363294722992,-0.054422626802231644
202008,-0.5319414134171728,-0.6473326723050877,-0.1153912588879149
202009,-0.20883312451495972,-0.3123908088820746,-0.10355768436711488
202104,-0.00990484872955344,-0.10454899254224292,-0.09464414381268949
202106,-0.18338687730884562,-0.2797814054525505,-0.09639452814370486
202108,-0.35238075253483586,-0.049757592117885885,0.30262316041695
202110,-0.3865636928325244,-0.4479612104760985,-0.061397517643574095
202405,-0.01455344522241675,-0.06738170701568746,-0.052828261793270714
202406,-0.14759239571532368,-0.2292688100252147,-0.08167641430989103
202408,-0.5337469252896248,-0.67615932153326,-0.14241239624363522
202505,0.024452672185331648,-0.009841683178658522,-0.03429435536399017
202506,0.02317618298624724,-0.08983114559632688,-0.11300732858257412
202507,0.015613465807962523,-0.11007147260297878,-0.1256849384109413
202508,-0.0728136683807129,-0.16303038254717622,-0.09021671416646332
