algorithm_pair,statistic,p_value
"['hybrid', 's2cloudless']",0.8812415464715713,0.0495147850926513
"['hybrid', 'cloudscoreplus']",0.8660756001768336,0.02956185861456091
"['s2cloudless', 'cloudscoreplus']",0.5539307987113524,9.909536118866221e-06
