scene_id,algorithm,TP,TN,FP,FN,balanced_accuracy,precision,recall,f1_score,iou,mcc,FPR,FNR,cloud_fraction
202004,cloudscoreplus,2814948,8840214,1994656,105714,0.8898544011218337,0.5852764593509153,0.9638047812448,0.728292661597932,0.5726888880841484,0.6686788398798333,0.18409597900113245,0.03619521875520002,0.3496487086068354
202007,cloudscoreplus,1196176,11650315,624686,284355,0.8785231199637136,0.6569284218134048,0.8079371522784731,0.724649261690444,0.5681960576985651,0.6923061723715642,0.050890912351045835,0.19206284772152693,0.13237306997650108
202008,cloudscoreplus,158900,13412236,154422,29974,0.9149595721029586,0.5071460031533055,0.8413016084797272,0.6328206516977435,0.46286586502609994,0.6473326723050877,0.011382464273810101,0.15869839152027276,0.022777890378939906
202009,cloudscoreplus,646204,12483611,524912,100805,0.9123518911018507,0.5517847933082632,0.8650551733647118,0.6737871619420006,0.5080535662199146,0.6696662436286518,0.040351391161010365,0.1349448266352882,0.08513781946056322
202104,cloudscoreplus,7309666,3153263,2378925,913678,0.7294384729628156,0.7544612008082496,0.888892158713049,0.8161782632641309,0.6894435521302091,0.493065579678088,0.43001521278741794,0.1111078412869509,0.7043414242357184
202106,cloudscoreplus,1113171,11847675,755655,39031,0.9530840450966207,0.5956525647652591,0.9661248635221948,0.7369484824371042,0.5834666853962325,0.7326567189410235,0.059956773328953536,0.03387513647780511,0.135859958015437
202108,cloudscoreplus,13347009,39897,366475,2151,0.5490086912510488,0.9732763023605088,0.9998388662657426,0.9863787884140219,0.9731236650727436,0.30063904577511225,0.9018214837636451,0.00016113373425743642,0.9969431934729969
202110,cloudscoreplus,705649,11975742,374698,699443,0.7359347790940347,0.6531688429736001,0.5022083963185329,0.5678264483658622,0.39647879806044534,0.5311984114740588,0.03033883813046337,0.49779160368146713,0.07853909249020685
202405,cloudscoreplus,8304434,3150366,1929222,371510,0.7886901933131176,0.8114826216554475,0.9571792994514488,0.8783299488090706,0.7830555410448078,0.6384578097060506,0.3797989128252134,0.042820700548551256,0.7439665728668291
202406,cloudscoreplus,5472573,6114218,1337728,831013,0.8443271496019658,0.8035728523599764,0.8681682140927403,0.8346225646141376,0.716182190654644,0.6862833344402067,0.1795139148888089,0.13183178590725977,0.49509542778861626
